From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
PSCA,O43653,reviewed,PSCA_HUMAN,Prostate stem cell antigen,PSCA UNQ206/PRO232,Homo sapiens (Human),114
CNIH4,Q9P003,reviewed,CNIH4_HUMAN,Protein cornichon homolog 4 (CNIH-4) (Cornichon family AMPA receptor auxiliary protein 4),CNIH4 HSPC163,Homo sapiens (Human),139
KHDRBS1,Q07666,reviewed,KHDR1_HUMAN,"KH domain-containing, RNA-binding, signal transduction-associated protein 1 (GAP-associated tyrosine phosphoprotein p62) (Src-associated in mitosis 68 kDa protein) (Sam68) (p21 Ras GTPase-activating protein-associated p62) (p68)",KHDRBS1 SAM68,Homo sapiens (Human),443
GDPD4,Q6W3E5,reviewed,GDPD4_HUMAN,Glycerophosphodiester phosphodiesterase domain-containing protein 4 (EC 3.1.-.-) (Glycerophosphodiester phosphodiesterase 6) (UgpQ),GDPD4 GDE6 UGPQ,Homo sapiens (Human),623
ZNF705D,P0CH99,reviewed,Z705D_HUMAN,Zinc finger protein 705D,ZNF705D,Homo sapiens (Human),300
ELOVL6,Q9H5J4,reviewed,ELOV6_HUMAN,Elongation of very long chain fatty acids protein 6 (EC 2.3.1.199) (3-keto acyl-CoA synthase ELOVL6) (ELOVL fatty acid elongase 6) (ELOVL FA elongase 6) (Fatty acid elongase 2) (hELO2) (Fatty acyl-CoA elongase) (Long-chain fatty-acyl elongase) (Very long chain 3-ketoacyl-CoA synthase 6) (Very long chain 3-oxoacyl-CoA synthase 6),ELOVL6 FACE LCE,Homo sapiens (Human),265
CYB561D1,Q8N8Q1,reviewed,C56D1_HUMAN,Probable transmembrane reductase CYB561D1 (EC 7.2.1.3) (Cytochrome b561 domain-containing protein 1),CYB561D1,Homo sapiens (Human),229
CSN1S1,P47710,reviewed,CASA1_HUMAN,Alpha-S1-casein [Cleaved into: Casoxin-D],CSN1S1 CASA CSN1,Homo sapiens (Human),185
ANKRD30A,Q9BXX3,reviewed,AN30A_HUMAN,Ankyrin repeat domain-containing protein 30A (Serologically defined breast cancer antigen NY-BR-1),ANKRD30A,Homo sapiens (Human),1397
DHRS4,Q9BTZ2,reviewed,DHRS4_HUMAN,Dehydrogenase/reductase SDR family member 4 (EC 1.1.1.184) (NADPH-dependent carbonyl reductase) (CR) (NADPH-dependent retinol dehydrogenase/reductase) (NRDR) (humNRDR) (Peroxisomal short-chain alcohol dehydrogenase) (PSCD) (SCAD-SRL) (Short chain dehydrogenase/reductase family 25C member 2) (Protein SDR25C2) (Short-chain dehydrogenase/reductase family member 4),DHRS4 SDR25C2 UNQ851/PRO1800,Homo sapiens (Human),278
CEP76,Q8TAP6,reviewed,CEP76_HUMAN,Centrosomal protein of 76 kDa (Cep76),CEP76 C18orf9,Homo sapiens (Human),659
MYC,P01106,reviewed,MYC_HUMAN,Myc proto-oncogene protein (Class E basic helix-loop-helix protein 39) (bHLHe39) (Proto-oncogene c-Myc) (Transcription factor p64),MYC BHLHE39,Homo sapiens (Human),439
LMO7,Q8WWI1,reviewed,LMO7_HUMAN,LIM domain only protein 7 (LMO-7) (F-box only protein 20) (LOMP),LMO7 FBX20 FBXO20 KIAA0858,Homo sapiens (Human),1683
PBLD,P30039,reviewed,PBLD_HUMAN,Phenazine biosynthesis-like domain-containing protein (EC 5.1.-.-) (MAWD-binding protein) (MAWDBP) (Unknown protein 32 from 2D-page of liver tissue),PBLD MAWBP,Homo sapiens (Human),288
GPRC5A,Q8NFJ5,reviewed,RAI3_HUMAN,Retinoic acid-induced protein 3 (G-protein coupled receptor family C group 5 member A) (Phorbol ester induced gene 1) (PEIG-1) (Retinoic acid-induced gene 1 protein) (RAIG-1),GPRC5A GPCR5A RAI3 RAIG1,Homo sapiens (Human),357
CCDC85A,Q96PX6,reviewed,CC85A_HUMAN,Coiled-coil domain-containing protein 85A,CCDC85A KIAA1912,Homo sapiens (Human),553
HMCN2,Q8NDA2,reviewed,HMCN2_HUMAN,Hemicentin-2,HMCN2,Homo sapiens (Human),5059
PTBP3,O95758,reviewed,PTBP3_HUMAN,Polypyrimidine tract-binding protein 3 (Regulator of differentiation 1) (Rod1),PTBP3 ROD1,Homo sapiens (Human),552
TMEM218,A2RU14,reviewed,TM218_HUMAN,Transmembrane protein 218,TMEM218,Homo sapiens (Human),115
FBXL6,Q8N531,reviewed,FBXL6_HUMAN,F-box/LRR-repeat protein 6 (F-box and leucine-rich repeat protein 6) (F-box protein FBL6) (FBL6A),FBXL6 FBL6,Homo sapiens (Human),539
