From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
AAK1,Q2M2I8,reviewed,AAK1_HUMAN,AP2-associated protein kinase 1 (EC 2.7.11.1) (Adaptor-associated kinase 1),AAK1 KIAA1048,Homo sapiens (Human),961
AAMDC,Q9H7C9,reviewed,AAMDC_HUMAN,Mth938 domain-containing protein (Adipogenesis associated Mth938 domain-containing protein),AAMDC C11orf67 PTD015,Homo sapiens (Human),122
ABAT,P80404,reviewed,GABT_HUMAN,"4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)",ABAT GABAT,Homo sapiens (Human),500
ABCA3,Q99758,reviewed,ABCA3_HUMAN,Phospholipid-transporting ATPase ABCA3 (EC 7.6.2.1) (ABC-C transporter) (ATP-binding cassette sub-family A member 3) (ATP-binding cassette transporter 3) (ATP-binding cassette 3) (Xenobiotic-transporting ATPase ABCA3) (EC 7.6.2.2) [Cleaved into: 150 Kda mature form],ABCA3 ABC3,Homo sapiens (Human),1704
ABCA7,Q8IZY2,reviewed,ABCA7_HUMAN,Phospholipid-transporting ATPase ABCA7 (EC 7.6.2.1) (ABCA-SSN) (ATP-binding cassette sub-family A member 7) (Autoantigen SS-N) (Macrophage ABC transporter),ABCA7,Homo sapiens (Human),2146
ABCB1,P08183,reviewed,MDR1_HUMAN,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243),ABCB1 MDR1 PGY1,Homo sapiens (Human),1280
ABCD3,P28288,reviewed,ABCD3_HUMAN,ATP-binding cassette sub-family D member 3 (EC 3.1.2.-) (EC 7.6.2.-) (70 kDa peroxisomal membrane protein) (PMP70),ABCD3 PMP70 PXMP1,Homo sapiens (Human),659
ABCG2,Q9UNQ0,reviewed,ABCG2_HUMAN,Broad substrate specificity ATP-binding cassette transporter ABCG2 (EC 7.6.2.2) (ATP-binding cassette sub-family G member 2) (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338),ABCG2 ABCP BCRP BCRP1 MXR,Homo sapiens (Human),655
ABI2,Q9NYB9,reviewed,ABI2_HUMAN,Abl interactor 2 (Abelson interactor 2) (Abi-2) (Abl-binding protein 3) (AblBP3) (Arg-binding protein 1) (ArgBP1),ABI2 ARGBPIA,Homo sapiens (Human),513
ABI3,Q9P2A4,reviewed,ABI3_HUMAN,ABI gene family member 3 (New molecule including SH3) (Nesh),ABI3 NESH,Homo sapiens (Human),366
ABR,Q12979,reviewed,ABR_HUMAN,Active breakpoint cluster region-related protein,ABR,Homo sapiens (Human),859
ABRACL,Q9P1F3,reviewed,ABRAL_HUMAN,Costars family protein ABRACL (ABRA C-terminal-like protein),ABRACL C6orf115 HSPC280 PRO2013,Homo sapiens (Human),81
ACAA1,P09110,reviewed,THIK_HUMAN,"3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA C-myristoyltransferase) (EC 2.3.1.155) (Acetyl-CoA acyltransferase) (EC 2.3.1.9) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)",ACAA1 ACAA PTHIO,Homo sapiens (Human),424
ACAD11,Q709F0,reviewed,ACD11_HUMAN,Acyl-CoA dehydrogenase family member 11 (ACAD-11) (EC 1.3.8.-),ACAD11,Homo sapiens (Human),780
ACAD8,Q9UKU7,reviewed,ACAD8_HUMAN,"Isobutyryl-CoA dehydrogenase, mitochondrial (IBDH) (EC 1.3.8.5) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)",ACAD8 ARC42 IBD,Homo sapiens (Human),415
ACADM,P11310,reviewed,ACADM_HUMAN,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial (MCAD) (EC 1.3.8.7) (Medium chain acyl-CoA dehydrogenase) (MCADH)",ACADM,Homo sapiens (Human),421
ACAT1,P24752,reviewed,THIL_HUMAN,"Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase) (T2)",ACAT1 ACAT MAT,Homo sapiens (Human),427
ACBD5,Q5T8D3,reviewed,ACBD5_HUMAN,Acyl-CoA-binding domain-containing protein 5,ACBD5 KIAA1996,Homo sapiens (Human),534
ACO2,Q99798,reviewed,ACON_HUMAN,"Aconitate hydratase, mitochondrial (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase)",ACO2,Homo sapiens (Human),780
ACOT2,P49753,reviewed,ACOT2_HUMAN,"Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl-coenzyme A thioester hydrolase 2a) (CTE-Ia) (Long-chain acyl-CoA thioesterase 2) (ZAP128)",ACOT2 PTE2 PTE2A,Homo sapiens (Human),483
ACOT4,Q8N9L9,reviewed,ACOT4_HUMAN,Peroxisomal succinyl-coenzyme A thioesterase (EC 3.1.2.3) (Acyl-coenzyme A thioesterase 4) (Acyl-CoA thioesterase 4) (EC 3.1.2.2) (PTE-2b) (Peroxisomal acyl coenzyme A thioester hydrolase Ib) (Peroxisomal long-chain acyl-CoA thioesterase Ib) (PTE-Ib),ACOT4 PTE2B PTEIB,Homo sapiens (Human),421
ACOT7,O00154,reviewed,BACH_HUMAN,Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase),ACOT7 BACH,Homo sapiens (Human),380
ADAR,P55265,reviewed,DSRAD_HUMAN,Double-stranded RNA-specific adenosine deaminase (DRADA) (EC 3.5.4.37) (136 kDa double-stranded RNA-binding protein) (p136) (Interferon-inducible protein 4) (IFI-4) (K88DSRBP),ADAR ADAR1 DSRAD G1P1 IFI4,Homo sapiens (Human),1226
ADGRE5,P48960,reviewed,AGRE5_HUMAN,Adhesion G protein-coupled receptor E5 (Leukocyte antigen CD97) (CD antigen CD97) [Cleaved into: Adhesion G protein-coupled receptor E5 subunit alpha; Adhesion G protein-coupled receptor E5 subunit beta],ADGRE5 CD97,Homo sapiens (Human),835
ADORA2A,P29274,reviewed,AA2AR_HUMAN,Adenosine receptor A2a,ADORA2A ADORA2,Homo sapiens (Human),412
