,From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
0,MARCH1,Q8TCQ1,reviewed,MARH1_HUMAN,E3 ubiquitin-protein ligase MARCHF1 (EC 2.3.2.27) (Membrane-associated RING finger protein 1) (Membrane-associated RING-CH protein I) (MARCH-I) (RING finger protein 171) (RING-type E3 ubiquitin transferase MARCHF1),MARCHF1 MARCH1 RNF171,Homo sapiens (Human),289
1,AACS,Q86V21,reviewed,AACS_HUMAN,Acetoacetyl-CoA synthetase (EC 6.2.1.16) (Acyl-CoA synthetase family member 1) (Protein sur-5 homolog),AACS ACSF1,Homo sapiens (Human),672
6,AADAC,P22760,reviewed,AAAD_HUMAN,Arylacetamide deacetylase (EC 3.1.1.3),AADAC DAC,Homo sapiens (Human),399
8,ABHD1,Q96SE0,reviewed,ABHD1_HUMAN,Protein ABHD1 (EC 3.1.1.-) (Alpha/beta hydrolase domain-containing protein 1) (Abhydrolase domain-containing protein 1) (Lung alpha/beta hydrolase 1),ABHD1 LABH1,Homo sapiens (Human),405
12,ABI3BP,Q7Z7G0,reviewed,TARSH_HUMAN,Target of Nesh-SH3 (Tarsh) (ABI gene family member 3-binding protein) (Nesh-binding protein) (NeshBP),ABI3BP NESHBP TARSH,Homo sapiens (Human),1068
37,ACAD8,Q9UKU7,reviewed,ACAD8_HUMAN,"Isobutyryl-CoA dehydrogenase, mitochondrial (IBDH) (EC 1.3.8.5) (Activator-recruited cofactor 42 kDa component) (ARC42) (Acyl-CoA dehydrogenase family member 8) (ACAD-8)",ACAD8 ARC42 IBD,Homo sapiens (Human),415
41,ACER1,Q8TDN7,reviewed,ACER1_HUMAN,Alkaline ceramidase 1 (AlkCDase 1) (Alkaline CDase 1) (EC 3.5.1.-) (EC 3.5.1.23) (Acylsphingosine deacylase 3) (N-acylsphingosine amidohydrolase 3),ACER1 ASAH3,Homo sapiens (Human),264
42,ACHE,P22303,reviewed,ACES_HUMAN,Acetylcholinesterase (AChE) (EC 3.1.1.7),ACHE,Homo sapiens (Human),614
57,ACTB,P60709,reviewed,ACTB_HUMAN,"Actin, cytoplasmic 1 (EC 3.6.4.-) (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",ACTB,Homo sapiens (Human),375
74,ADA,P00813,reviewed,ADA_HUMAN,Adenosine deaminase (EC 3.5.4.4) (Adenosine aminohydrolase),ADA ADA1,Homo sapiens (Human),363
113,ADAMTSL1,Q8N6G6,reviewed,ATL1_HUMAN,ADAMTS-like protein 1 (ADAMTSL-1) (Punctin-1),ADAMTSL1 ADAMTSR1 C9orf94 UNQ528/PRO1071,Homo sapiens (Human),1762
119,ADCY1,Q08828,reviewed,ADCY1_HUMAN,Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase),ADCY1,Homo sapiens (Human),1119
123,ADD1,P35611,reviewed,ADDA_HUMAN,Alpha-adducin (Erythrocyte adducin subunit alpha),ADD1 ADDA,Homo sapiens (Human),737
134,ADH1A,P07327,reviewed,ADH1A_HUMAN,Alcohol dehydrogenase 1A (EC 1.1.1.1) (Alcohol dehydrogenase subunit alpha),ADH1A ADH1,Homo sapiens (Human),375
135,ADIPOR1,Q96A54,reviewed,PAQR1_HUMAN,Adiponectin receptor protein 1 (Progestin and adipoQ receptor family member 1) (Progestin and adipoQ receptor family member I),ADIPOR1 PAQR1 TESBP1A CGI-45,Homo sapiens (Human),375
139,AFF1,P51825,reviewed,AFF1_HUMAN,AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4),AFF1 AF4 FEL MLLT2 PBM1,Homo sapiens (Human),1210
149,AGMO,Q6ZNB7,reviewed,ALKMO_HUMAN,Alkylglycerol monooxygenase (EC 1.14.16.5) (Transmembrane protein 195),AGMO TMEM195,Homo sapiens (Human),445
153,AGO1,Q9UL18,reviewed,AGO1_HUMAN,Protein argonaute-1 (Argonaute1) (hAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Putative RNA-binding protein Q99),AGO1 EIF2C1,Homo sapiens (Human),857
161,AK1,P00568,reviewed,KAD1_HUMAN,Adenylate kinase isoenzyme 1 (AK 1) (EC 2.7.4.3) (EC 2.7.4.4) (EC 2.7.4.6) (ATP-AMP transphosphorylase 1) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Myokinase),AK1,Homo sapiens (Human),194
166,AKR1A1,P14550,reviewed,AK1A1_HUMAN,Aldo-keto reductase family 1 member A1 (EC 1.1.1.2) (EC 1.1.1.372) (EC 1.1.1.54) (Alcohol dehydrogenase [NADP(+)]) (Aldehyde reductase) (Glucuronate reductase) (EC 1.1.1.19) (Glucuronolactone reductase) (EC 1.1.1.20) (S-nitroso-CoA reductase) (ScorR) (EC 1.6.-.-),AKR1A1 ALDR1 ALR,Homo sapiens (Human),325
170,ALDH1A1,P00352,reviewed,AL1A1_HUMAN,"Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.3) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1) (RALDH 1) (RalDH1)",ALDH1A1 ALDC ALDH1 PUMB1,Homo sapiens (Human),501
